Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2023,66.0,15,182.0,2.3509999999987485,0.0,14.0,14.0,0
2023,66.0,15,203.0,0.9910000000018044,0.0,16.0,16.0,1
2023,77.0,17,55.0,6.582000000000335,0.0,10.5,15.5,1
2023,77.0,11,129.0,3.6039999999993597,0.0,11.5,21.0,0
2023,77.0,13,156.0,7.2960000000020955,8.0,24.0,30.0,1
2023,77.0,11,182.0,2.0869999999995343,0.0,14.0,9.0,1
2023,77.0,8,203.0,0.7809999999990396,0.0,16.5,15.5,1
2023,77.0,2,279.0,2.0599999999976717,1.0,14.5,13.5,0
2023,92.0,9,55.0,0.5950000000002547,0.0,18.0,21.0,0
2023,92.0,10,182.0,0.9650000000001455,0.0,13.0,17.0,0
2023,92.0,10,203.0,0.592000000000553,0.0,15.5,16.5,0
2023,92.0,7,257.0,2.9769999999989523,1.0,21.0,25.0,1
2023,92.0,7,270.0,1.1519999999945867,8.0,9.5,11.5,1
2024,12.0,4,79.0,2.4950000000008004,0.0,21.5,21.5,1
2024,12.0,6,134.0,1.9869999999973516,3.0,24.0,27.0,1
2024,12.0,3,154.0,6.556000000000495,5.0,19.0,15.0,0
2024,12.0,8,228.0,5.029999999998836,5.0,22.5,27.5,1
2024,12.0,5,285.0,3.188000000001921,0.0,21.5,16.5,1
2024,47.0,2,22.0,2.2840000000001055,0.0,19.0,19.0,0
2024,47.0,9,79.0,5.647000000000844,0.0,21.0,10.0,1
2024,47.0,6,159.0,8.326000000000931,0.0,17.0,2.0,0
2024,47.0,14,202.0,9.590999999996711,0.0,13.5,9.0,0
2024,47.0,8,233.0,4.515999999999622,5.0,20.0,13.0,1
2024,47.0,3,285.0,1.8070000000006985,0.0,17.5,21.5,1
2024,78.0,3,22.0,7.36200000000008,0.0,19.0,19.0,1
2024,78.0,3,79.0,2.850000000000364,0.0,23.0,21.5,0
2024,78.0,3,159.0,5.47899999999936,27.0,19.0,27.5,1
2024,78.0,7,202.0,2.6790000000000873,0.0,11.0,12.0,1
2024,78.0,4,285.0,1.1929999999993015,0.0,20.5,14.5,0
2024,80.0,4,22.0,1.2709999999997308,0.0,19.0,19.0,0
2024,80.0,10,79.0,0.48400000000037835,0.0,23.5,23.5,0
2024,80.0,12,105.0,5.355999999999767,1.0,24.0,25.0,0
2024,45.0,6,22.0,0.30600000000004,0.0,19.0,19.0,1
2024,45.0,17,80.0,0.43800000000010186,0.0,22.5,22.0,1
2024,45.0,15,160.0,1.4359999999978754,0.0,19.0,19.0,1
2024,21.0,5,22.0,4.499000000000251,0.0,19.0,19.0,0
2024,21.0,10,159.0,2.344999999997526,0.0,15.5,17.0,0
2024,55.0,7,22.0,1.9890000000000327,0.0,19.0,19.0,0
2024,34.0,9,22.0,2.643999999999778,0.0,19.0,19.0,1
2024,34.0,8,79.0,2.956000000000131,0.0,21.0,19.0,1
2024,34.0,4,159.0,1.364000000001397,0.0,16.0,16.0,1
2024,34.0,9,202.0,4.556000000000495,0.0,12.0,9.0,0
2024,34.0,8,285.0,1.9129999999931897,0.0,16.5,12.5,0
2024,96.0,8,22.0,4.873000000000047,0.0,19.0,19.0,1
2024,96.0,3,226.0,6.677999999999884,8.0,20.5,28.5,0
2024,96.0,7,260.0,5.2409999999945285,2.0,20.5,26.0,1
2024,96.0,2,285.0,1.253999999993539,0.0,22.5,17.5,0
2024,44.0,11,22.0,0.8850000000002183,0.0,19.0,19.0,1
2024,44.0,5,79.0,1.2479999999995925,0.0,21.5,21.5,0
2024,44.0,7,159.0,0.7510000000002037,0.0,16.0,14.5,1
2024,44.0,6,202.0,0.5289999999986321,0.0,11.0,11.0,1
2024,44.0,4,225.0,5.886999999998807,1.0,19.5,20.5,0
2024,44.0,5,281.0,3.1019999999989523,4.0,23.0,20.5,1
2024,43.0,12,22.0,1.4039999999999964,0.0,19.0,19.0,0
