,Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
110,2023,16.0,10,292.0,1.1919999999954598,0.0,20.0,20.0,1
111,2023,91.0,15,29.0,9.411000000000058,29.0,27.0,29.0,0
112,2023,91.0,12,100.0,3.395000000000437,28.0,25.5,29.5,1
113,2023,91.0,14,287.0,6.790000000000873,0.0,19.5,13.0,0
114,2023,19.0,18,60.0,7.502000000000407,0.0,24.0,24.0,1
115,2023,19.0,14,365.0,1.1710000000020957,1.0,13.5,10.0,1
116,2024,12.0,8,141.0,1.9589999999989232,0.0,12.5,12.5,0
117,2024,12.0,6,199.0,4.598000000001775,0.0,19.0,22.5,1
118,2024,12.0,5,585.0,0.9839999999967404,0.0,10.0,22.0,1
119,2024,66.0,3,19.0,1.1119999999996253,0.0,16.0,16.0,1
120,2024,66.0,10,199.0,0.5149999999994179,0.0,21.0,7.0,0
121,2024,66.0,13,246.0,1.798000000002503,0.0,11.0,13.0,1
122,2024,66.0,12,267.0,9.644000000000233,11.0,19.5,30.5,0
123,2024,86.0,10,19.0,1.6039999999998145,0.0,16.0,16.0,1
124,2024,34.0,4,19.0,2.71100000000024,0.0,16.0,16.0,1
125,2024,34.0,12,91.0,8.33299999999872,5.0,22.0,9.5,0
126,2024,34.0,16,141.0,1.9240000000027069,0.0,14.0,10.0,0
127,2024,34.0,4,172.0,0.0779999999977008,5.0,26.0,32.0,0
128,2024,34.0,4,199.0,1.5599999999976717,0.0,24.5,19.5,0
129,2024,34.0,7,246.0,0.6490000000012515,0.0,9.5,13.0,1
130,2024,34.0,4,585.0,3.2379999999975557,0.0,22.0,13.0,0
131,2024,45.0,16,19.0,0.7109999999997854,0.0,16.0,16.0,0
132,2024,47.0,6,19.0,0.4690000000000509,0.0,16.0,16.0,1
133,2024,47.0,2,141.0,1.1710000000020957,18.0,14.5,30.0,1
134,2024,47.0,2,199.0,1.0599999999976717,0.0,21.5,19.5,0
135,2024,47.0,8,246.0,2.348999999998341,0.0,13.0,13.0,1
