"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"3","GTDPRO","Jordan Taylor","2","2:41.956","6:04.221","Yellow","Track","46.755","57.990","57.211"
"95","GTDPRO","Bill Auberlen","2","2:41.850","6:05.288","Yellow","Track","46.933","58.671","56.246"
"9","GTDPRO","Patrick Pilet","2","2:42.015","6:06.766","Yellow","Track","47.571","58.354","56.090"
"42","GTD","Jaden Conwright","2","2:41.974","6:07.504","Yellow","Track","47.479","58.974","55.521"
"70","GTD","Brendan Iribe","2","2:41.734","6:08.004","Yellow","Track","47.258","60.428","54.048"
"32","GTD","Mike Skeen","2","2:42.837","6:10.786","Yellow","Track","49.435","58.222","55.180"
"27","GTD","Ian James","2","2:42.206","6:11.869","Yellow","Track","49.840","58.860","53.506"
"96","GTD","Patrick Gallagher","2","2:41.711","6:12.805","Yellow","Track","49.872","57.882","53.957"
"91","GTD","Alan Metni","2","2:41.795","6:13.408","Yellow","Track","50.052","57.553","54.190"
"80","GTD","PJ Hyett","2","2:42.034","6:14.477","Yellow","Track","50.366","57.544","54.124"
"57","GTD","Russell Ward","2","2:41.911","6:15.167","Yellow","Track","50.040","57.560","54.311"
"44","GTD","John Potter","2","2:41.991","6:16.250","Yellow","Track","50.667","57.551","53.773"
"16","GTD","Ryan Hardwick","2","2:41.754","6:17.023","Yellow","Track","50.443","57.888","53.423"
"023","GTD","Charles Scardina","2","2:41.947","6:18.253","Yellow","Track","51.567","57.972","52.408"
"47","GTD","Roberto Lacorte","2","2:42.120","6:19.121","Yellow","Track","51.501","57.847","52.772"
"23","GTDPRO","Ross Gunn","2","2:42.272","6:20.815","Yellow","Track","51.746","57.051","53.475"
"66","GTD","Sheena Monk","2","2:43.224","6:22.522","Yellow","Track","51.748","57.245","54.231"
"93","GTD","Ashton Harrison","2","2:43.075","6:23.283","Yellow","Track","51.741","57.510","53.824"
"61","GTDPRO","Simon Mann","2","2:43.092","6:24.881","Yellow","Track","51.216","57.277","54.599"
"77","GTD","Alan Brynjolfsson","2","2:42.514","6:25.893","Yellow","Track","50.659","57.158","54.697"
"92","GTD","David Brule","2","2:43.367","6:28.496","Yellow","Track","50.330","57.260","55.777"
"6","GTP","Nick Tandy","3","3:27.395","8:46.784","Yellow","Track","51.886","79.255","76.254"
"31","GTP","Pipo Derani","3","3:27.146","8:47.832","Yellow","Track","51.997","78.781","76.368"
"01","GTP","Sebastien Bourdais","3","3:27.895","8:49.609","Yellow","Track","52.681","78.693","76.521"
"25","GTP","Connor De Phillippi","3","3:27.352","8:50.353","Yellow","Track","53.481","77.671","76.200"
"10","GTP","Louis Deletraz","3","3:27.674","8:51.080","Yellow","Track","53.772","78.075","75.827"
