"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"60","DPi","Tom Blomqvist","20","1:35.465","38:29.292","Green","Track","22.234","37.135","36.096"
"02","DPi","Earl Bamber","20","1:36.604","38:34.214","Green","Track","22.182","36.789","37.633"
"25","GTDPRO","Connor De Phillippi","18","1:47.695","38:34.752","Green","Track","25.097","40.529","42.069"
"23","GTDPRO","Ross Gunn","18","1:48.157","38:35.650","Green","Track","25.014","40.767","42.376"
"01","DPi","Sebastien Bourdais","20","1:38.124","38:35.700","Green","Track","22.548","37.675","37.901"
"48","DPi","Kamui Kobayashi","20","1:38.319","38:36.207","Green","Track","22.436","37.701","38.182"
"14","GTDPRO","Ben Barnicoat","18","1:47.898","38:36.403","Green","Track","25.085","40.703","42.110"
"31","DPi","Olivier Pla","20","1:38.744","38:37.639","Green","Track","22.948","37.231","38.565"
"96","GTD","Robby Foley","18","1:48.272","38:38.198","Green","Track","25.004","40.761","42.507"
"32","GTD","Stevan McAleer","18","1:48.409","38:38.788","Green","Track","24.965","40.721","42.723"
"5","DPi","Tristan Vautier","20","1:38.528","38:38.810","Green","Track","23.082","36.997","38.449"
"12","GTD","Richard Heistand","18","1:48.580","38:40.399","Green","Track","25.407","40.622","42.551"
"9","GTDPRO","Mathieu Jaminet","18","1:48.738","38:40.966","Green","Track","25.362","41.031","42.345"
"62","GTDPRO","Davide Rigon","18","1:48.667","38:41.406","Green","Track","25.152","41.108","42.407"
"1","GTD","Madison Snow","18","1:48.555","38:42.445","Green","Track","25.108","41.296","42.151"
"16","GTD","Zacharie Robichon","18","1:48.922","38:43.248","Green","Track","25.011","41.952","41.959"
"3","GTDPRO","Jordan Taylor","18","1:48.357","38:44.843","Green","Track","25.163","41.046","42.148"
"57","GTD","Russell Ward","18","1:48.744","38:46.513","Green","Track","25.402","41.157","42.185"
"39","GTD","Robert Megennis","18","1:49.308","38:47.236","Green","Track","25.573","41.262","42.473"
"47","GTD","Giorgio Sernagiotto","18","1:49.463","38:47.524","Green","Track","25.869","41.198","42.396"
"59","GTD","Jon Miller","18","1:48.876","38:48.015","Green","Track","25.437","40.998","42.441"
"66","GTD","Till Bechtolsheimer","18","1:49.026","38:48.404","Green","Track","25.353","41.331","42.342"
"79","GTDPRO","Cooper MacNeil","18","1:48.968","38:50.696","Green","Track","25.370","41.188","42.410"
"21","GTD","Luis Perez Companc","18","1:49.314","38:51.579","Green","Track","25.754","41.292","42.268"
"27","GTD","Ian James","18","1:49.817","38:52.381","Green","Track","25.674","41.495","42.648"
"70","GTD","Brendan Iribe","18","1:49.936","38:52.881","Green","Track","25.436","41.918","42.582"
"11","LMP2","Steven Thomas","20","1:38.201","38:54.906","Green","Track","22.471","36.443","39.287"
"44","GTD","John Potter","18","1:50.038","38:55.270","Green","Track","25.427","41.069","43.542"
"99","GTD","Stefan Wilson","18","1:50.283","38:55.856","Green","Track","25.238","41.454","43.591"
"52","LMP2","Ben Keating","20","1:37.626","39:02.220","Green","Track","22.434","36.396","38.796"
"42","GTD","Don Yount","18","1:50.791","39:02.456","Green","Track","25.360","42.575","42.856"
"20","LMP2","Dennis Andersen","20","1:37.416","39:12.953","Green","Track","22.649","36.919","37.848"
"18","LMP2","Dwight Merriman","20","1:37.509","39:13.372","Green","Track","22.920","36.685","37.904"
"8","LMP2","John Farano","20","1:41.293","39:30.016","Green","Track","23.330","38.567","39.396"
"29","LMP2","Frits Van Eerd","20","1:40.799","39:31.603","Green","Track","23.325","38.409","39.065"
"81","LMP2","Henrik Hedman","20","1:40.831","39:35.809","Green","Track","23.053","38.373","39.405"
"40","LMP3","Nico Varrone","20","1:42.668","39:43.266","Green","Track","24.124","38.658","39.886"
"38","LMP3","Dan Goldburg","20","1:44.080","39:52.047","Green","Track","24.577","38.897","40.606"
"58","LMP3","Josh Sarchet","20","1:44.216","39:54.164","Green","Track","24.246","39.418","40.552"
"54","LMP3","Jon Bennett","20","1:44.819","40:00.493","Green","Track","24.483","39.709","40.627"
"10","DPi","Filipe Albuquerque","21","1:35.019","40:01.967","Green","Track","22.108","35.950","36.961"
"60","DPi","Tom Blomqvist","21","1:33.936","40:03.228","Green","Track","21.677","34.643","37.616"
"30","LMP3","Ari Balogh","20","1:46.395","40:03.953","Green","Track","24.466","40.222","41.707"
"74","LMP3","Gar Robinson","20","1:45.482","40:05.048","Green","Track","24.387","39.791","41.304"
"13","LMP3","Orey Fidani","20","1:45.541","40:05.784","Green","Track","24.254","39.929","41.358"
"36","LMP3","Jarett Andretti","20","1:45.330","40:06.069","Green","Track","24.350","39.837","41.143"
"33","LMP3","Lance Willsey","20","1:45.207","40:06.536","Green","Track","24.520","39.788","40.899"
"02","DPi","Earl Bamber","21","1:32.768","40:06.982","Green","Track","21.914","34.829","36.025"
"01","DPi","Sebastien Bourdais","21","1:33.161","40:08.861","Green","Track","22.218","34.805","36.138"
"48","DPi","Kamui Kobayashi","21","1:33.897","40:10.104","Green","Track","22.116","35.194","36.587"
"31","DPi","Olivier Pla","21","1:33.736","40:11.375","Green","Track","22.074","35.159","36.503"
"6","LMP3","Dillon Machavern","20","1:47.682","40:13.842","Green","Track","24.868","40.843","41.971"
"5","DPi","Tristan Vautier","21","1:35.075","40:13.885","Green","Track","22.614","36.047","36.414"
"25","GTDPRO","Connor De Phillippi","19","1:48.127","40:22.879","Green","Track","25.255","40.806","42.066"
"23","GTDPRO","Ross Gunn","19","1:47.937","40:23.587","Green","Track","25.253","40.826","41.858"
"14","GTDPRO","Ben Barnicoat","19","1:47.927","40:24.330","Green","Track","25.194","40.830","41.903"
"96","GTD","Robby Foley","19","1:47.948","40:26.146","Green","Track","25.144","40.687","42.117"
"32","GTD","Stevan McAleer","19","1:48.092","40:26.880","Green","Track","25.110","40.718","42.264"
"12","GTD","Richard Heistand","19","1:47.817","40:28.216","Green","Track","25.316","40.567","41.934"
"9","GTDPRO","Mathieu Jaminet","19","1:47.770","40:28.736","Green","Track","25.133","40.699","41.938"
"62","GTDPRO","Davide Rigon","19","1:47.808","40:29.214","Green","Track","25.128","40.755","41.925"
"16","GTD","Zacharie Robichon","19","1:47.862","40:31.110","Green","Track","24.979","40.802","42.081"
"3","GTDPRO","Jordan Taylor","19","1:47.761","40:32.604","Green","Track","25.178","40.623","41.960"
"11","LMP2","Steven Thomas","21","1:38.919","40:33.825","Green","Track","22.866","37.067","38.986"
"57","GTD","Russell Ward","19","1:47.669","40:34.182","Green","Track","25.137","40.704","41.828"
"39","GTD","Robert Megennis","19","1:48.081","40:35.317","Green","Track","25.136","40.730","42.215"
"47","GTD","Giorgio Sernagiotto","19","1:48.917","40:36.441","Green","Track","25.167","41.108","42.642"
"59","GTD","Jon Miller","19","1:48.889","40:36.904","Green","Track","25.080","41.158","42.651"
"66","GTD","Till Bechtolsheimer","19","1:48.803","40:37.207","Green","Track","24.893","41.330","42.580"
"79","GTDPRO","Cooper MacNeil","19","1:49.196","40:39.892","Green","Track","25.363","41.292","42.541"
"21","GTD","Luis Perez Companc","19","1:48.834","40:40.413","Green","Track","25.092","41.190","42.552"
"52","LMP2","Ben Keating","21","1:39.871","40:42.091","Green","Track","22.447","38.081","39.343"
"70","GTD","Brendan Iribe","19","1:49.483","40:42.364","Green","Track","25.140","41.692","42.651"
"1","GTD","Madison Snow","19","2:00.761","40:43.206","Green","Pit","25.025","40.850","54.886"
"44","GTD","John Potter","19","1:49.947","40:45.217","Green","Track","25.556","41.478","42.913"
"99","GTD","Stefan Wilson","19","1:49.687","40:45.543","Green","Track","25.308","41.529","42.850"
"20","LMP2","Dennis Andersen","21","1:38.079","40:51.032","Green","Track","22.628","36.769","38.682"
"18","LMP2","Dwight Merriman","21","1:38.158","40:51.530","Green","Track","22.936","36.721","38.501"
"42","GTD","Don Yount","19","1:50.932","40:53.388","Green","Track","25.219","42.073","43.640"
"27","GTD","Ian James","19","2:02.025","40:54.406","Green","Pit","25.136","41.359","55.530"
"8","LMP2","John Farano","21","1:40.435","41:10.451","Green","Track","23.170","38.313","38.952"
"29","LMP2","Frits Van Eerd","21","1:39.950","41:11.553","Green","Track","23.120","37.838","38.992"
"81","LMP2","Henrik Hedman","21","1:40.631","41:16.440","Green","Track","22.998","38.486","39.147"
"40","LMP3","Nico Varrone","21","1:43.171","41:26.437","Green","Track","24.091","39.003","40.077"
"10","DPi","Filipe Albuquerque","22","1:33.951","41:35.918","Green","Track","21.877","34.699","37.375"
"60","DPi","Tom Blomqvist","22","1:33.257","41:36.485","Green","Track","21.997","34.679","36.581"
"38","LMP3","Dan Goldburg","21","1:44.851","41:36.898","Green","Track","24.614","39.106","41.131"
"58","LMP3","Josh Sarchet","21","1:44.992","41:39.156","Green","Track","24.258","39.707","41.027"
"02","DPi","Earl Bamber","22","1:35.145","41:42.127","Green","Track","22.869","36.361","35.915"
"48","DPi","Kamui Kobayashi","22","1:36.046","41:46.150","Green","Track","21.804","37.298","36.944"
"54","LMP3","Jon Bennett","21","1:46.165","41:46.658","Green","Track","25.019","39.904","41.242"
"01","DPi","Sebastien Bourdais","22","1:37.995","41:46.856","Green","Track","22.404","38.692","36.899"
"5","DPi","Tristan Vautier","22","1:35.726","41:49.611","Green","Track","22.007","35.962","37.757"
"30","LMP3","Ari Balogh","21","1:46.974","41:50.927","Green","Track","24.893","39.766","42.315"
"74","LMP3","Gar Robinson","21","1:46.191","41:51.239","Green","Track","24.398","40.449","41.344"
"13","LMP3","Orey Fidani","21","1:46.230","41:52.014","Green","Track","24.296","40.491","41.443"
"36","LMP3","Jarett Andretti","21","1:46.408","41:52.477","Green","Track","24.418","40.628","41.362"
"33","LMP3","Lance Willsey","21","1:46.393","41:52.929","Green","Track","25.063","40.600","40.730"
"6","LMP3","Dillon Machavern","21","1:46.253","42:00.095","Green","Track","24.681","40.561","41.011"
"31","DPi","Olivier Pla","22","1:49.993","42:01.368","Green","Pit","21.823","37.193","50.977"
"25","GTDPRO","Connor De Phillippi","20","1:47.609","42:10.488","Green","Track","25.133","40.576","41.900"
"23","GTDPRO","Ross Gunn","20","1:47.451","42:11.038","Green","Track","25.010","40.601","41.840"
"11","LMP2","Steven Thomas","22","1:38.074","42:11.899","Green","Track","22.749","36.841","38.484"
"14","GTDPRO","Ben Barnicoat","20","1:47.753","42:12.083","Green","Track","25.104","40.723","41.926"
"96","GTD","Robby Foley","20","1:48.209","42:14.355","Green","Track","25.085","40.799","42.325"
