"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"3","GTDPRO","Antonio Garcia","28","1:21.693","38:32.723","Green","Track","29.626","34.131","17.936"
"9","GTDPRO","Marvin Kirchh̦fer","28","1:21.936","38:35.826","Green","Track","29.732","34.295","17.909"
"13","GTD","Orey Fidani","27","1:26.049","38:39.893","Green","Track","31.382","35.870","18.797"
"14","GTDPRO","Jack Hawksworth","28","1:22.504","38:40.135","Green","Track","30.040","34.319","18.145"
"77","GTDPRO","Seb Priaulx","28","1:22.506","38:40.549","Green","Track","29.884","34.569","18.053"
"45","GTD","Danny Formal","28","1:22.056","38:45.193","Green","Track","29.946","34.139","17.971"
"557","GTD","Patrick Gallagher","28","1:22.666","38:47.933","Green","Track","29.950","34.471","18.245"
"57","GTD","Russell Ward","28","1:23.073","38:56.859","Green","Track","30.196","34.648","18.229"
"32","GTD","Mike Skeen","28","1:22.818","38:59.611","Green","Track","30.188","34.585","18.045"
"64","GTDPRO","Mike Rockenfeller","28","1:22.671","39:00.615","Green","Track","30.045","34.421","18.205"
"31","GTP","Pipo Derani","30","1:15.500","39:05.180","Green","Track","27.195","31.715","16.590"
"12","GTD","Frankie Montecalvo","28","1:22.900","39:08.050","Green","Track","29.998","34.820","18.082"
"01","GTP","Sebastien Bourdais","31","1:16.507","39:12.271","Green","Track","27.817","31.614","17.076"
"65","GTDPRO","Dirk Mueller","28","1:23.446","39:13.670","Green","Track","30.132","34.638","18.676"
"27","GTD","Spencer Pumpelly","28","1:23.357","39:15.966","Green","Track","30.328","34.761","18.268"
"55","GTD","Corey Lewis","28","1:23.951","39:18.066","Green","Track","30.374","35.321","18.256"
"10","GTP","Filipe Albuquerque","30","1:16.591","39:18.253","Green","Track","27.886","31.902","16.803"
"120","GTD","Adam Adelson","28","1:24.001","39:25.647","Green","Track","30.324","35.059","18.618"
"86","GTD","Kerong Li","27","1:26.705","39:25.906","Green","Track","31.491","36.115","19.099"
"34","GTD","Manny Franco","28","1:23.873","39:26.583","Green","Track","30.496","35.025","18.352"
"24","GTP","Philipp Eng","31","1:17.171","39:28.566","Green","Track","28.111","32.063","16.997"
"43","GTD","Jarett Andretti","28","1:25.742","39:29.008","Green","Track","31.762","35.459","18.521"
"6","GTP","Mathieu Jaminet","31","1:16.815","39:29.393","Green","Track","27.785","31.957","17.073"
"70","GTD","Brendan Iribe","28","1:24.840","39:30.284","Green","Track","30.600","35.495","18.745"
"1","GTDPRO","Madison Snow","28","1:22.933","39:32.033","Green","Track","29.947","34.767","18.219"
"25","GTP","Nick Yelloly","30","1:16.016","39:31.980","Green","Track","27.377","31.833","16.806"
"23","GTDPRO","Ross Gunn","28","1:22.717","39:32.375","Green","Track","30.014","34.646","18.057"
"40","GTP","Louis Deletraz","31","1:15.568","39:32.578","Green","Track","27.217","31.705","16.646"
"7","GTP","Dane Cameron","31","1:16.290","39:34.048","Green","Track","27.081","32.664","16.545"
"5","GTP","Bent Viscaal","31","1:16.153","39:37.005","Green","Track","27.410","31.614","17.129"
"85","GTP","Tijmen van der Helm","31","1:15.709","39:37.895","Green","Track","27.344","31.719","16.646"
"66","GTD","Sheena Monk","28","1:27.018","39:38.209","Green","Track","31.149","36.814","19.055"
"78","GTD","Misha Goikhberg","28","1:23.859","39:42.168","Green","Track","30.126","35.343","18.390"
"4","GTDPRO","Nicky Catsburg","29","1:21.938","39:53.871","Green","Track","29.840","34.229","17.869"
"3","GTDPRO","Antonio Garcia","29","1:21.977","39:54.700","Green","Track","29.847","34.217","17.913"
"9","GTDPRO","Marvin Kirchh̦fer","29","1:22.063","39:57.889","Green","Track","29.639","34.536","17.888"
"14","GTDPRO","Jack Hawksworth","29","1:23.649","40:03.784","Green","Track","30.796","34.844","18.009"
"77","GTDPRO","Seb Priaulx","29","1:23.566","40:04.115","Green","Track","30.472","35.119","17.975"
"13","GTD","Orey Fidani","28","1:26.729","40:06.622","Green","Track","31.017","37.060","18.652"
"45","GTD","Danny Formal","29","1:22.169","40:07.362","Green","Track","29.917","34.325","17.927"
"557","GTD","Patrick Gallagher","29","1:22.422","40:10.355","Green","Track","30.013","34.309","18.100"
"57","GTD","Russell Ward","29","1:23.516","40:20.375","Green","Track","30.103","35.188","18.225"
"31","GTP","Pipo Derani","31","1:16.236","40:21.416","Green","Track","27.174","32.143","16.919"
"32","GTD","Mike Skeen","29","1:23.151","40:22.762","Green","Track","30.138","34.702","18.311"
"64","GTDPRO","Mike Rockenfeller","29","1:22.978","40:23.593","Green","Track","29.946","34.820","18.212"
"01","GTP","Sebastien Bourdais","32","1:15.187","40:27.458","Green","Track","27.257","31.523","16.407"
"12","GTD","Frankie Montecalvo","29","1:23.028","40:31.078","Green","Track","30.163","34.829","18.036"
"10","GTP","Filipe Albuquerque","31","1:17.969","40:36.222","Green","Track","27.953","32.320","17.696"
"65","GTDPRO","Dirk Mueller","29","1:23.366","40:37.036","Green","Track","30.114","34.702","18.550"
"27","GTD","Spencer Pumpelly","29","1:23.553","40:39.519","Green","Track","30.358","34.989","18.206"
"55","GTD","Corey Lewis","29","1:23.717","40:41.783","Green","Track","30.394","35.079","18.244"
"24","GTP","Philipp Eng","32","1:16.308","40:44.874","Green","Track","28.053","31.558","16.697"
"6","GTP","Mathieu Jaminet","32","1:16.413","40:45.806","Green","Track","28.011","31.779","16.623"
"25","GTP","Nick Yelloly","31","1:16.831","40:48.811","Green","Track","27.631","32.545","16.655"
"120","GTD","Adam Adelson","29","1:23.311","40:48.958","Green","Track","30.181","35.068","18.062"
"40","GTP","Louis Deletraz","32","1:17.511","40:50.089","Green","Track","28.203","32.709","16.599"
"34","GTD","Manny Franco","29","1:25.449","40:52.032","Green","Track","31.238","35.594","18.617"
"7","GTP","Dane Cameron","32","1:18.930","40:52.978","Green","Track","28.170","33.951","16.809"
"5","GTP","Bent Viscaal","32","1:18.130","40:55.135","Green","Track","27.330","32.922","17.878"
"85","GTP","Tijmen van der Helm","32","1:17.467","40:55.362","Green","Track","27.419","32.171","17.877"
"86","GTD","Kerong Li","28","1:29.871","40:55.777","Green","Track","33.090","37.215","19.566"
"70","GTD","Brendan Iribe","29","1:26.177","40:56.461","Green","Track","30.548","36.112","19.517"
"1","GTDPRO","Madison Snow","29","1:24.870","40:56.903","Green","Track","30.164","34.964","19.742"
"23","GTDPRO","Ross Gunn","29","1:24.796","40:57.171","Green","Track","30.551","35.155","19.090"
"43","GTD","Jarett Andretti","29","1:30.696","40:59.704","Green","Track","30.868","38.250","21.578"
"66","GTD","Sheena Monk","29","1:24.736","41:02.945","Green","Track","30.790","35.539","18.407"
"78","GTD","Misha Goikhberg","29","1:22.947","41:05.115","Green","Track","30.022","34.618","18.307"
"4","GTDPRO","Nicky Catsburg","30","1:22.090","41:15.961","Green","Track","29.796","34.257","18.037"
"3","GTDPRO","Antonio Garcia","30","1:22.037","41:16.737","Green","Track","29.695","34.298","18.044"
"9","GTDPRO","Marvin Kirchh̦fer","30","1:22.261","41:20.150","Green","Track","29.797","34.548","17.916"
"14","GTDPRO","Jack Hawksworth","30","1:22.474","41:26.258","Green","Track","29.947","34.403","18.124"
"77","GTDPRO","Seb Priaulx","30","1:22.585","41:26.700","Green","Track","30.092","34.360","18.133"
"45","GTD","Danny Formal","30","1:22.484","41:29.846","Green","Track","30.095","34.426","17.963"
"13","GTD","Orey Fidani","29","1:25.722","41:32.344","Green","Track","30.818","36.323","18.581"
"557","GTD","Patrick Gallagher","30","1:22.756","41:33.111","Green","Track","29.938","34.513","18.305"
"31","GTP","Pipo Derani","32","1:15.466","41:36.882","Green","Track","27.529","31.410","16.527"
"57","GTD","Russell Ward","30","1:22.934","41:43.309","Green","Track","30.186","34.550","18.198"
"01","GTP","Sebastien Bourdais","33","1:17.421","41:44.879","Green","Track","27.303","32.778","17.340"
"32","GTD","Mike Skeen","30","1:23.177","41:45.939","Green","Track","30.166","34.482","18.529"
"64","GTDPRO","Mike Rockenfeller","30","1:23.114","41:46.707","Green","Track","30.044","34.800","18.270"
"10","GTP","Filipe Albuquerque","32","1:16.490","41:52.712","Green","Track","27.577","32.027","16.886"
"12","GTD","Frankie Montecalvo","30","1:23.318","41:54.396","Green","Track","29.973","34.737","18.608"
"65","GTDPRO","Dirk Mueller","30","1:23.042","42:00.078","Green","Track","30.055","34.750","18.237"
"24","GTP","Philipp Eng","33","1:17.088","42:01.962","Green","Track","27.423","32.434","17.231"
