"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"4","GTDPRO","Tommy Milner","436","1:47.465","14:36:32.145","Green","Track","25.355","50.289","31.821"
"52","LMP2","Nick Boulle","455","1:43.077","14:36:33.396","Green","Track","24.628","48.090","30.359"
"1","GTDPRO","Sheldon van der Linde","436","1:46.887","14:36:34.984","Green","Track","25.527","49.872","31.488"
"31","GTP","Tom Blomqvist","469","1:38.605","14:36:41.981","Green","Track","23.746","45.994","28.865"
"77","GTDPRO","Seb Priaulx","436","1:48.546","14:36:44.953","Green","Track","25.730","50.647","32.169"
"25","GTP","Connor De Phillippi","469","1:37.925","14:36:47.574","Green","Track","24.247","45.523","28.155"
"33","LMP2","Nolan Siegel","366","1:42.332","14:36:48.541","Green","Track","24.336","47.939","30.057"
"64","GTDPRO","Mike Rockenfeller","431","1:48.331","14:36:48.858","Green","Track","25.691","50.775","31.865"
"40","GTP","Colton Herta","469","1:38.051","14:36:49.251","Green","Track","24.560","45.436","28.055"
"32","GTD","Kenton Koch","435","1:49.107","14:36:58.228","Green","Track","25.896","51.137","32.074"
"70","GTD","Ollie Millroy","435","1:48.218","14:36:58.510","Green","Track","25.960","50.453","31.805"
"34","GTD","Manny Franco","434","1:48.390","14:36:59.677","Green","Track","26.021","50.574","31.795"
"80","GTD","Rui Pinto de Andrade","435","1:48.061","14:37:00.168","Green","Track","25.727","50.509","31.825"
"7","GTP","Josef Newgarden","469","1:37.975","14:37:02.386","Green","Track","24.192","45.608","28.175"
"21","GTD","Kei Cozzolino","435","1:48.027","14:37:03.041","Green","Track","25.805","50.586","31.636"
"24","GTP","Dries Vanthoor","455","1:38.323","14:37:03.087","Green","Track","24.185","45.629","28.509"
"023","GTD","Riccardo Agostini","435","1:48.702","14:37:03.725","Green","Track","26.067","50.722","31.913"
"85","GTP","Tijmen van der Helm","468","1:39.447","14:37:13.042","Green","Track","24.066","46.729","28.652"
"10","GTP","Ricky Taylor","371","1:39.376","14:37:13.680","Green","Track","24.306","46.227","28.843"
"12","GTD","Frankie Montecalvo","435","1:48.747","14:37:15.867","Green","Track","25.847","50.862","32.038"
"86","GTD","Larry ten Voorde","426","1:49.225","14:37:18.552","Green","Track","26.001","50.721","32.503"
"17","GTD","Thomas Merrill","429","1:50.458","14:37:19.584","Green","Track","26.623","51.464","32.371"
"47","GTD","Roberto Lacorte","435","1:50.031","14:37:19.718","Green","Track","26.380","51.350","32.301"
"74","LMP2","Felipe Fraga","456","1:42.692","14:37:20.379","Green","Track","24.980","47.953","29.759"
"99","LMP2","Matt Brabham","456","2:55.853","14:37:20.547","Green","Track","94.715","50.002","31.136"
"18","LMP2","Christian Rasmussen","456","2:54.596","14:37:24.765","Green","Track","94.946","49.253","30.397"
"96","GTD","Jens Klingmann","435","1:47.932","14:37:25.046","Green","Track","25.935","50.221","31.776"
"65","GTDPRO","Joey Hand","435","1:48.909","14:37:30.464","Green","Track","25.954","50.611","32.344"
"83","GTD","Rahel Frey","435","1:48.034","14:37:30.555","Green","Track","25.484","50.315","32.235"
"78","GTD","Devlin Defrancesco","382","1:48.602","14:37:31.584","Green","Track","25.684","50.648","32.270"
"14","GTDPRO","Kyle Kirkwood","397","1:49.749","14:37:42.602","Green","Track","26.315","51.175","32.259"
"2","LMP2","Ben Hanley","456","2:55.931","14:37:42.810","Green","Track","93.551","51.603","30.777"
"19","GTDPRO","Mirko Bortolotti","424","1:48.442","14:37:44.647","Green","Track","25.301","51.145","31.996"
"81","LMP2","Sebastian Alvarez","454","1:43.198","14:37:48.311","Green","Track","25.234","47.957","30.007"
"92","GTD","Alec Udell","432","1:50.628","14:37:54.871","Green","Track","26.701","51.346","32.581"
"23","GTDPRO","Alex Riberas","435","1:49.717","14:37:55.046","Green","Track","26.136","51.169","32.412"
"6","GTP","Kevin Estre","469","1:38.517","14:37:56.057","Green","Track","24.526","45.801","28.190"
"5","GTP","Alessio Picariello","469","2:36.348","14:37:59.843","Green","Pit","23.983","45.482","86.883"
"120","GTD","Adam Adelson","435","1:49.206","14:38:02.080","Green","Track","25.904","50.976","32.326"
"3","GTDPRO","Daniel Juncadella","437","1:47.873","14:38:04.916","Green","Track","25.873","50.311","31.689"
"62","GTDPRO","Daniel Serra","437","1:47.263","14:38:05.721","Green","Track","25.809","50.016","31.438"
"04","LMP2","Colin Braun","457","1:55.489","14:38:07.110","Green","Pit","24.363","47.459","43.667"
"43","GTD","Gabby Chaves","435","1:48.651","14:38:08.616","Green","Track","25.767","50.799","32.085"
"57","GTD","Indy Dontje","436","1:47.610","14:38:10.173","Green","Track","25.434","49.987","32.189"
"45","GTD","Ashton Harrison","361","1:51.220","14:38:11.403","Green","Track","26.315","51.490","33.415"
"9","GTDPRO","James Hinchcliffe","394","1:47.502","14:38:13.201","Green","Track","25.900","50.178","31.424"
"52","LMP2","Nick Boulle","456","1:42.940","14:38:16.336","Green","Track","24.593","48.064","30.283"
"31","GTP","Tom Blomqvist","470","1:37.561","14:38:19.542","Green","Track","23.790","45.459","28.312"
"4","GTDPRO","Tommy Milner","437","1:48.305","14:38:20.450","Green","Track","25.582","50.700","32.023"
