"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"70","GTD","Brendan Iribe","48","2:04.513","1:48:38.558","Green","Track","11.622","77.767","35.124"
"120","GTD","Adam Adelson","49","2:03.889","1:48:41.617","Green","Track","12.043","77.152","34.694"
"85","GTP","Phil Hanson","53","2:01.787","1:48:46.620","Green","Pit","10.390","70.472","40.925"
"14","GTDPRO","Kyle Kirkwood","49","2:02.800","1:48:47.943","Green","Track","11.601","76.990","34.209"
"60","GTDPRO","Matteo Cressoni","49","2:02.933","1:48:49.128","Green","Track","11.669","76.586","34.678"
"5","GTP","Julien Andlauer","53","2:01.896","1:48:51.509","Green","Pit","10.285","70.848","40.763"
"1","GTDPRO","Madison Snow","50","2:02.376","1:49:12.242","Green","Track","11.694","76.561","34.121"
"3","GTDPRO","Alexander Sims","50","2:02.577","1:49:13.025","Green","Track","11.484","76.731","34.362"
"23","GTDPRO","Mario Farnbacher","50","2:02.079","1:49:14.135","Green","Track","11.415","76.371","34.293"
"19","GTDPRO","Jordan Pepper","50","2:02.212","1:49:15.001","Green","Track","11.600","76.243","34.369"
"65","GTDPRO","Joey Hand","50","2:02.352","1:49:20.243","Green","Track","11.549","76.253","34.550"
"4","GTDPRO","Tommy Milner","50","2:02.516","1:49:20.670","Green","Track","11.533","76.646","34.337"
"01","GTP","Scott Dixon","53","3:02.587","1:49:22.156","Green","Track","75.512","75.561","31.514"
"12","GTD","Frankie Montecalvo","50","2:02.586","1:49:24.047","Green","Track","11.414","76.455","34.717"
"62","GTDPRO","Davide Rigon","50","2:03.480","1:49:26.055","Green","Track","11.544","76.940","34.996"
"10","GTP","Brendon Hartley","53","3:00.400","1:49:29.367","Green","Track","73.339","75.281","31.780"
"24","GTP","Jesse Krohn","53","3:04.089","1:49:29.904","Green","Track","78.170","74.300","31.619"
"40","GTP","Colton Herta","53","1:52.166","1:49:30.481","Green","Track","10.425","70.389","31.352"
"78","GTD","Misha Goikhberg","50","2:03.194","1:49:30.923","Green","Track","11.693","76.509","34.992"
"57","GTD","Russell Ward","50","2:02.669","1:49:31.732","Green","Track","11.567","76.653","34.449"
"64","GTDPRO","Mike Rockenfeller","50","2:12.813","1:49:35.049","Green","Pit","11.568","77.041","44.204"
"2","LMP2","Nico Pino","52","1:54.534","1:49:36.987","Green","Track","10.651","71.785","32.098"
"55","GTD","Ryan Hardwick","47","2:05.474","1:49:42.161","Green","Track","11.720","78.583","35.171"
"34","GTD","Manny Franco","50","2:03.618","1:49:45.711","Green","Track","12.005","76.918","34.695"
"99","LMP2","Matt Brabham","52","1:55.041","1:49:49.644","Green","Track","10.238","71.376","33.427"
"22","LMP2","Bijoy Garg","52","1:54.034","1:49:50.193","Green","Track","10.343","71.725","31.966"
"45","GTD","Graham Doyle","49","2:08.918","1:49:52.543","Green","Track","12.388","79.803","36.727"
"44","GTD","John Potter","50","2:04.188","1:49:55.093","Green","Track","11.703","77.752","34.733"
"33","LMP2","Joao Barbosa","51","1:55.294","1:49:56.081","Green","Track","10.967","72.068","32.259"
"6","GTP","Fred Makowiecki","53","1:52.583","1:49:56.592","Green","Track","10.344","70.991","31.248"
"7","GTP","Dane Cameron","53","3:02.498","1:50:00.516","Green","Track","75.364","75.819","31.315"
"47","GTD","Roberto Lacorte","50","2:04.924","1:50:05.593","Green","Track","11.882","78.120","34.922"
